,time,open,high,low,close,volume,trades,start
148,1628445600000.0,19.529,19.689,19.378,19.482,283752.118,11296.0,2021-08-08 18:00:00
149,1628449200000.0,19.483,19.587,19.192,19.487,405333.558,16954.0,2021-08-08 19:00:00
150,1628452800000.0,19.486,19.759,19.309,19.65,412504.2,14683.0,2021-08-08 20:00:00
151,1628456400000.0,19.653,19.952,19.603,19.944,240416.018,10949.0,2021-08-08 21:00:00
152,1628460000000.0,19.939,20.233,19.904,20.061,371329.665,15660.0,2021-08-08 22:00:00
153,1628463600000.0,20.06,20.198,19.596,19.65,423714.694,14613.0,2021-08-08 23:00:00
154,1628467200000.0,19.651,19.795,19.001,19.073,803043.083,27239.0,2021-08-09 00:00:00
155,1628470800000.0,19.072,19.26,18.706,19.12,738167.558,25758.0,2021-08-09 01:00:00
156,1628474400000.0,19.122,19.412,19.023,19.368,330257.423,11268.0,2021-08-09 02:00:00
157,1628478000000.0,19.37,19.398,19.187,19.313,229877.066,7172.0,2021-08-09 03:00:00
158,1628481600000.0,19.312,19.391,19.08,19.358,375708.018,12118.0,2021-08-09 04:00:00
159,1628485200000.0,19.354,19.49,19.209,19.366,237998.043,9456.0,2021-08-09 05:00:00
160,1628488800000.0,19.366,19.461,19.12,19.3,254521.586,9160.0,2021-08-09 06:00:00
161,1628492400000.0,19.298,19.641,19.253,19.602,313633.562,11707.0,2021-08-09 07:00:00
162,1628496000000.0,19.597,19.684,19.422,19.598,392252.647,11689.0,2021-08-09 08:00:00
163,1628499600000.0,19.6,20.463,19.572,20.356,883902.969,41067.0,2021-08-09 09:00:00
164,1628503200000.0,20.355,20.598,20.153,20.589,722683.832,29428.0,2021-08-09 10:00:00
165,1628506800000.0,20.587,20.75,20.495,20.691,635850.454,28103.0,2021-08-09 11:00:00
166,1628510400000.0,20.687,20.788,20.441,20.595,415510.824,15565.0,2021-08-09 12:00:00
167,1628514000000.0,20.591,20.7,20.276,20.357,446976.573,16058.0,2021-08-09 13:00:00
168,1628517600000.0,20.356,20.814,20.351,20.514,566284.414,21960.0,2021-08-09 14:00:00
169,1628521200000.0,20.509,21.0,20.509,20.839,634384.002,38835.0,2021-08-09 15:00:00
170,1628524800000.0,20.841,21.267,20.754,20.953,992818.585,49034.0,2021-08-09 16:00:00
171,1628528400000.0,20.953,21.047,20.781,20.797,320942.331,11376.0,2021-08-09 17:00:00
172,1628532000000.0,20.797,21.109,20.797,20.943,415974.835,16584.0,2021-08-09 18:00:00
173,1628535600000.0,20.947,21.073,20.6,20.671,464323.387,20228.0,2021-08-09 19:00:00
174,1628539200000.0,20.678,20.877,20.3,20.338,596244.477,24056.0,2021-08-09 20:00:00
175,1628542800000.0,20.337,20.499,20.108,20.333,655829.229,24232.0,2021-08-09 21:00:00
176,1628546400000.0,20.333,20.741,20.284,20.73,600789.924,17518.0,2021-08-09 22:00:00
177,1628550000000.0,20.729,20.817,20.411,20.566,422263.054,16589.0,2021-08-09 23:00:00
178,1628553600000.0,20.566,20.804,20.309,20.516,723131.623,21537.0,2021-08-10 00:00:00
179,1628557200000.0,20.513,20.564,20.33,20.522,318424.667,10226.0,2021-08-10 01:00:00
180,1628560800000.0,20.522,20.607,20.349,20.572,405476.023,12456.0,2021-08-10 02:00:00
181,1628564400000.0,20.571,20.81,20.33,20.336,404881.064,15536.0,2021-08-10 03:00:00
182,1628568000000.0,20.333,20.604,20.28,20.312,333762.633,10655.0,2021-08-10 04:00:00
183,1628571600000.0,20.315,20.567,20.271,20.33,508520.668,14434.0,2021-08-10 05:00:00
